,size,mad,midpoint,outgroup,yule
Afro-Asiatic,358,0.0,0.0,0.42662300449959634,0.0
Ainu,22,,,,
Algic,24,0.0,0.0,0.0,0.16535433070866146
Angan,17,0.19999999999999996,0.09873417721518984,0.0,0.19999999999999996
Anim,11,0.0,0.36363636363636365,0.0,0.0
Arawakan,57,0.0,0.0,0.18691547360489336,0.0
Athabaskan-Eyak-Tlingit,35,0.6750293083235639,0.0,0.0,0.3681125439624854
Atlantic-Congo,1480,0.042323188780461374,0.06050602745755984,0.06838819329144374,0.4208893979818359
Austroasiatic,154,0.0,0.0,0.058757212605415,0.0
Austronesian,1232,0.24440637590162273,0.08314420956916879,0.08451913886063034,0.24440637590162273
Bosavi,13,0.0,0.2977099236641222,0.2977099236641222,0.13358778625954193
Cariban,29,0.0,0.0,0.0483772198407838,0.0
Central_Sudanic,67,0.0,0.1146377775666001,0.12071969337007826,0.0
Chibchan,21,0.09948542024013718,0.09948542024013718,0.0,0.09948542024013718
Cochimi-Yuman,12,0.23668639053254437,0.23668639053254437,0.41420118343195267,0.16568047337278102
Dogon,19,0.0,0.0,0.10852713178294571,0.0
Dravidian,38,0.01700154559505407,0.24343122102009274,0.01700154559505407,0.24343122102009274
Eastern_Trans-Fly,18,0.0,0.0,0.0,0.4482758620689655
Eleman,17,0.336038961038961,0.336038961038961,0.22077922077922074,0.23376623376623373
Eskimo-Aleut,10,0.0,0.0,0.0,0.4629629629629629
Gunwinyguan,11,0.0,0.0,0.18656716417910446,0.17910447761194026
Heibanic,10,0.0,0.0,0.2909090909090909,0.3090909090909091
Hmong-Mien,36,0.0,0.0,0.5904027420736933,0.33561839474435873
Huitotoan,10,0.11764705882352944,0.11764705882352944,0.11764705882352944,0.25210084033613445
Ijoid,34,0.0,0.0,0.0,0.4183931278423446
Indo-European,403,0.0,0.0,0.00031870359286023664,0.23296844114519377
Japonic,19,0.0,0.39850427350427353,0.125,0.3386752136752137
Kadugli-Krongo,11,0.15671641791044777,0.15671641791044777,0.29850746268656714,0.23134328358208955
Kiwaian,10,0.0,0.0,0.0,0.0
Lakes_Plain,21,0.0,0.0,0.14883720930232558,0.28186046511627905
Lower_Sepik-Ramu,19,0.0,0.15964523281596454,0.15964523281596454,0.15964523281596454
Mande,83,0.0,0.2737277689734108,0.09722222222222221,0.2737277689734108
Mayan,107,0.024033651534162814,0.024033651534162814,0.0005803894689713207,0.24504596131842382
Mixe-Zoque,13,0.0,0.0,0.44981412639405205,0.0
Mongolic,12,0.3550295857988166,0.16568047337278102,0.3550295857988166,0.0
Nakh-Daghestanian,55,0.009496225250462897,0.009496225250462897,0.009496225250462897,0.12516024880110155
Ndu,10,0.6105263157894737,0.6105263157894737,0.0,0.21052631578947367
Nilotic,54,0.0,0.0,0.1970721911003065,0.0
North_Halmahera,20,0.0,0.0,0.313649564375605,0.16263310745401738
Nubian,10,0.19130434782608696,0.19130434782608696,0.06956521739130439,0.5043478260869565
Nuclear-Macro-Je,18,0.0,0.0,0.0,0.2409177820267686
Nuclear_Torricelli,65,0.0,0.0,0.024814905215198135,0.0
Nuclear_Trans_New_Guinea,260,0.0,0.0,0.033133617165252205,0.0
Otomanguean,90,0.3469324679338588,0.3469324679338588,0.17615343670049277,0.16767114819966
Pama-Nyungan,84,0.0,0.0,0.04671857619577313,0.0
Pano-Tacanan,29,0.0,0.0,0.09114888628370454,0.34026963657678777
Quechuan,62,0.24825498276007063,0.24825498276007063,0.49196871583550583,0.19981498612395932
Salishan,24,0.0,0.0,0.3348129359543437,0.0
Sentanic,10,0.0,0.0,0.33333333333333337,0.2962962962962963
Sepik,23,0.0,0.0,0.030478955007256947,0.0
Sino-Tibetan,310,0.0,0.0,0.12309127992493074,0.0
Siouan,11,0.0,0.0,0.06617647058823528,0.15441176470588236
Sko,13,0.15859030837004406,0.15859030837004406,0.15859030837004406,0.15859030837004406
Surmic,12,0.13761467889908252,0.13761467889908252,0.0,0.13761467889908252
Ta-Ne-Omotic,26,0.0,0.0,0.12588736393752953,0.2602934216753431
Tai-Kadai,141,0.0,0.0,0.059292230927151746,0.18886193531756623
Timor-Alor-Pantar,55,0.09295761396245938,0.4499694218375123,0.007197629016324036,0.3784635649433128
Totonacan,10,0.0,0.0,0.7433628318584071,0.4424778761061947
Tucanoan,31,0.0,0.36721311475409835,0.37400468384074936,0.2557377049180328
Tungusic,25,0.0,0.16628175519630484,0.3146651270207852,0.0
Tupian,51,0.0,0.0034172536439082135,0.0034172536439082135,0.3057395913243601
Turkic,61,0.10680172546602984,0.0,0.0,0.10680172546602984
Uralic,28,0.0,0.0,0.0687782805429864,0.0
Uto-Aztecan,66,0.09976852945344605,0.09976852945344605,0.12466342292975574,0.2567905900136993
